segment_id,risk_score,risk_level
1498779375,0.003644056,low
1498783284,0.0019217537,low
1498783285,0.0018791318,low
1498783286,0.002200133,low
1498787191,0.5620895,medium
1498787192,0.65049493,medium
1498790995,0.6428565,medium
1498790996,0.6523761,medium
1498804875,0.5341423,medium
1498823346,0.6310665,medium
1498824439,0.005878546,low
1498824440,0.0068724034,low
1498824441,0.024460077,low
1498872414,0.0051891613,low
1498872415,0.005979627,low
1499106636,0.002746778,low
1499106637,0.0013835654,low
1499109063,0.0029491237,low
1499109064,0.0024586844,low
1499109065,0.0028408004,low
1499109067,0.0015126849,low
1499518804,0.2541128,low
1499529869,0.19849095,low
1499535634,0.5587903,medium
1499706017,0.0006889694,low
1499710220,0.007864787,low
1499710227,0.01880789,low
1499717968,0.0017299008,low
1499717969,0.0031977042,low
1499735688,0.002777514,low
1499735689,0.0039701876,low
1499735690,0.0017870662,low
1499735691,0.0017165231,low
1499735692,0.0061988775,low
1499735693,0.0018061555,low
1499854970,0.0020431906,low
1499854971,0.0044269194,low
1499886869,0.43600342,medium
1500143088,0.90031004,high
1500221631,0.015573527,low
1500221639,0.001877016,low
1500221811,0.033369124,low
1500221812,0.06858597,low
1500221813,0.008935399,low
1500221814,0.0021364854,low
1500222990,0.05123211,low
1500222991,0.033617213,low
1500648902,0.003336154,low
1500649466,0.0010180455,low
1500650021,0.002042027,low
1500650022,0.0036625739,low
1500650023,0.00201128,low
1500727289,0.061125845,low
1500727290,0.048502132,low
1500727291,0.18778856,low
1500727292,0.21187407,low
1500727293,0.6509776,medium
1500727514,0.5787927,medium
1500727515,0.03592759,low
1500727516,0.045211896,low
1501056215,0.008624219,low
1501059776,0.16119958,low
1501059777,0.04985704,low
1501059778,0.011120041,low
1501062549,0.11276131,low
1501062550,0.21838176,low
1501062551,0.14090335,low
1501062552,0.09298662,low
1501062553,0.11379287,low
1501120958,0.55021226,medium
1501130687,0.4418898,medium
1501130688,0.33895487,medium
1501131647,0.30132952,low
1501131648,0.08083187,low
1501131649,0.009685882,low
1501184139,0.0010148876,low
1501184140,0.00070793775,low
1501186420,0.0028149756,low
1501187649,0.0012760874,low
1501187650,0.0022017488,low
1501187651,0.00016423603,low
1501288034,0.7520133,high
1501288035,0.7520133,high
1501457783,0.18792069,low
1501457784,0.30467147,low
1501457785,0.08323603,low
1501459047,0.06057823,low
1501459048,0.40933278,medium
1501459049,0.4033835,medium
1501459050,0.36961284,medium
1501459397,0.6036693,medium
1501459398,0.4060161,medium
1501681054,0.0038372723,low
1501681055,0.0038720237,low
1501681056,0.0035624532,low
1501681057,0.004226738,low
1501681058,0.022785041,low
1501681059,0.0067792577,low
1501681060,0.0031780167,low
1501681061,0.003798275,low
1501681062,0.0050608246,low
1501689981,0.6270824,medium
1501761486,0.5646801,medium
1501761487,0.5842062,medium
1501761488,0.49541554,medium
1501761489,0.48190227,medium
1502387097,0.0064034266,low
1502387098,0.008835567,low
1502387099,0.008594269,low
1502387100,0.0026763538,low
1502387101,0.0034370043,low
1502387102,0.0025261298,low
1502387103,0.0022893874,low
1502387104,0.003256476,low
1502387105,0.002201909,low
1502387106,0.0038985037,low
1502387107,0.0020167872,low
1502394375,0.004118473,low
1502394376,0.0022301504,low
1502394377,0.006435498,low
1502394378,0.009859124,low
1502394379,0.044418395,low
1502397866,0.0050349548,low
1502409962,0.0017703081,low
1502409963,0.008253811,low
1502436589,0.19384143,low
1502446489,0.33606756,medium
1502446490,0.4078143,medium
1502448205,0.4181336,medium
1502448206,0.48965564,medium
1502656768,0.51381713,medium
1502656769,0.5349974,medium
1502656770,0.556284,medium
1502656771,0.5445887,medium
1502656772,0.54197174,medium
1502656773,0.53942674,medium
1502656774,0.512425,medium
1502656775,0.36907533,medium
1502656776,0.44071478,medium
1502656777,0.38895205,medium
1502656778,0.4737074,medium
1502656779,0.41889104,medium
1502659806,0.21843322,low
1502659807,0.43291715,medium
1502659808,0.37204623,medium
1502659809,0.37474465,medium
1502659810,0.52687407,medium
1502659811,0.56325424,medium
1502661140,0.42706713,medium
1502661141,0.513986,medium
1502779917,0.60426396,medium
1502779918,0.7119092,high
1502804795,0.01782767,low
1502804796,0.07438571,low
1502806626,0.0059231124,low
1502806627,0.0060422565,low
1502806628,0.0060422565,low
1502806629,0.006743491,low
1502806630,0.0059564193,low
1502806631,0.004310955,low
1502806632,0.00543854,low
1502806633,0.0033178267,low
1502819840,0.017218973,low
1502820686,0.02690351,low
1502820687,0.058608007,low
1502820688,0.12511937,low
1502822848,0.00095390424,low
1502822849,0.00090103626,low
1502852660,0.014110449,low
1502918190,0.053312503,low
1502918191,0.056860756,low
1502931195,0.13445638,low
1502980886,0.0027629791,low
1503066811,0.022625668,low
1503336143,0.021595888,low
1503336144,0.01952785,low
1503337635,0.0103379,low
1503337636,0.008226421,low
1503585656,0.001952203,low
1503585657,0.0016392127,low
1503585658,0.0009206315,low
1503585659,0.0007817444,low
1503585660,0.0007281114,low
1503585938,0.0014637804,low
1503585939,0.0011234789,low
1503585940,0.0014900281,low
1503585941,0.0014496697,low
1503585942,0.0010735656,low
1503586891,0.0015506765,low
1503586892,0.0009721271,low
1503683942,0.0025878057,low
1503798069,0.6933959,medium
1503798070,0.2640056,low
1503798071,0.22880775,low
1503798072,0.6733747,medium
1503798073,0.6095549,medium
1503798074,0.21912743,low
1503798075,0.671957,medium
1503798076,0.09119601,low
1503798077,0.686587,medium
1503798078,0.2411391,low
1503798079,0.22169863,low
1503798080,0.6780414,medium
1503798081,0.6556367,medium
1503798082,0.16789374,low
1503798083,0.6947159,medium
1503798084,0.14511536,low
1503798085,0.651678,medium
1503798086,0.23161042,low
1504177394,0.7306025,high
1504177397,0.62955666,medium
1504177399,0.40993142,medium
1504177400,0.47150496,medium
1504299546,0.11545564,low
1504299547,0.19742236,low
1504380373,0.116643585,low
1504380374,0.014653757,low
1504380375,0.29380795,low
1504380376,0.083996005,low
1504380377,0.01224338,low
1504380378,0.044881027,low
1504380379,0.17337085,low
1504434747,0.1075011,low
1504434748,0.14904489,low
1504532556,0.7418066,high
1504536923,0.6023741,medium
1504537959,0.0006126194,low
1504556084,0.27889535,low
1505020621,0.5396077,medium
1505068023,0.00894844,low
1505088458,0.08147799,low
1505092740,0.46705022,medium
1505092741,0.42147392,medium
1505097387,0.009896526,low
1505108143,0.0028896127,low
1505133780,0.0022813287,low
1505161931,0.5702659,medium
1505200208,0.21451005,low
1505200209,0.567645,medium
1505200210,0.435908,medium
1505200211,0.212967,low
1505200212,0.5216782,medium
1505200213,0.6079977,medium
1505200214,0.5923015,medium
1505200215,0.6028447,medium
1505200216,0.52773356,medium
1505200217,0.31029648,low
1505200218,0.44685885,medium
1505200219,0.2693632,low
1505200220,0.37214488,medium
1505220607,0.010177129,low
1505235986,0.432822,medium
1505235987,0.5282849,medium
1505235988,0.4391994,medium
1505235989,0.2869809,low
1505235990,0.6270077,medium
1505235991,0.5401086,medium
1505235995,0.5218459,medium
1505235999,0.6128594,medium
1505236000,0.6513718,medium
1505236010,0.63852954,medium
1505236024,0.66463834,medium
1505236026,0.6028367,medium
1505236033,0.3817072,medium
1505236037,0.38232774,medium
1505477890,0.22954024,low
1505477891,0.054060742,low
1505477892,0.22161247,low
1505568429,0.022905666,low
1505568430,0.026227789,low
1505636537,0.41488004,medium
1505664578,0.71037567,medium
1505674526,0.14189063,low
1505714747,0.2875282,low
1505714748,0.31068018,low
1505801847,0.034090225,low
1506350415,0.7419834,high
1506350421,0.6492375,medium
1506350425,0.674325,medium
1506350427,0.7388365,high
1506350428,0.7013603,medium
1506350429,0.6407042,medium
1506350430,0.61882585,medium
1506350435,0.66664034,medium
1506350436,0.5798275,medium
1506350437,0.73429835,high
1506350443,0.6338719,medium
1506350445,0.74210894,high
1506350446,0.74689317,high
1506350451,0.63915217,medium
1506350457,0.6166505,medium
1506350459,0.6140337,medium
1506350460,0.75579023,high
1506412567,0.61648184,medium
1506412568,0.97863674,high
1506412570,0.9809461,high
1506412571,0.916826,high
1506412573,0.9024393,high
1506412574,0.7499209,high
1506412575,0.97710514,high
1506412576,0.8911077,high
1506412577,0.72615045,high
1506412581,0.97710514,high
1506412582,0.9615678,high
1506412583,0.9801933,high
1506412584,0.6285496,medium
1506412585,0.9792837,high
1506412586,0.86561173,high
1506412588,0.6917973,medium
1506412589,0.98100305,high
1506412590,0.93265563,high
1506412595,0.7912872,high
1506412596,0.97814584,high
1506412598,0.9474811,high
1506412600,0.91266936,high
1506412606,0.5839288,medium
1506412609,0.9249924,high
1506412610,0.95427537,high
1506412611,0.93426096,high
1506412613,0.98105866,high
1506412614,0.97891575,high
1506412620,0.9496157,high
1506412621,0.97710514,high
1506412622,0.96149176,high
1506412623,0.93873674,high
1506412624,0.95301783,high
1506412625,0.9556204,high
1506412628,0.9739759,high
1506412629,0.8393357,high
1506412632,0.933144,high
1506412633,0.980478,high
1506412634,0.9514604,high
1506412635,0.9805146,high
1506412639,0.954534,high
1506412640,0.93001944,high
1506412641,0.8326346,high
1506412643,0.9071794,high
1506412644,0.9806646,high
1506412645,0.95321333,high
